n,T,et,ett,ht,pt
1,Float32,1.5649999999999999e-9,1.5649999999999999e-9,1.5649999999999999e-9,3.123e-9
2,Float32,1.787e-9,1.5649999999999999e-9,1.564e-9,4.224e-9
3,Float32,1.79e-9,1.792e-9,1.566e-9,5.118000000000001e-9
4,Float32,2.4609999999999997e-9,2.459e-9,2.42e-9,8.45145145145145e-9
5,Float32,4.46e-9,5.593e-9,5.966e-9,1.0291291291291291e-8
6,Float32,1.3857715430861724e-8,8.80880880880881e-9,2.0888665997993983e-8,2.4843373493975903e-8
7,Float32,2.524397590361446e-8,1.733266533066132e-8,5.94867617107943e-8,6.551127049180327e-8
8,Float32,4.7994939271255066e-8,3.494461228600201e-8,1.3856419316843346e-7,1.4678287092882992e-7
9,Float32,9.703052631578948e-8,6.014052953156823e-8,3.682705314009662e-7,3.7358048780487803e-7
10,Float32,2.0712363636363635e-7,1.1563764961915124e-7,8.2555e-7,8.314025974025974e-7
11,Float32,9.221176470588236e-7,3.0364940239043825e-7,1.7441e-6,1.7504e-6
12,Float32,2.1381111111111113e-6,9.07225e-7,3.57325e-6,3.578e-6
13,Float32,4.616e-6,2.9521111111111115e-6,7.232e-6,7.23775e-6
14,Float32,9.653e-6,6.4018e-6,1.4587e-5,1.4592e-5
15,Float32,2.4545e-5,1.0024e-5,2.9196e-5,3.2054e-5
